id_mutation,date_mutation,code_type_local,code_commune,surface_terrain,surface_reelle_bati,nombre_pieces_principales,valeur_fonciere,latitude,longitude,nombre_lots,Prix_m2,Year,Month,prix_m2_moy_surf_habit,prix_m2_moy_terrain
2021-140757,2021-02-19,2.0,13204,0.0,52.0,3.0,97000.0,43.314963,5.398084,2,1865.3846153846155,2021,2,2721.7173060895752,12027.867705044877
2021-140763,2021-02-15,2.0,13204,0.0,80.0,3.0,190080.0,43.303436,5.4025,2,2376.0,2021,2,2721.7173060895752,12027.867705044877
2021-140771,2021-02-22,2.0,13204,0.0,46.0,2.0,137500.0,43.307413,5.407011,1,2989.1304347826085,2021,2,2721.7173060895752,12027.867705044877
2021-140773,2021-02-19,2.0,13204,0.0,69.0,3.0,205000.0,43.313034,5.402331,2,2971.014492753623,2021,2,2721.7173060895752,12027.867705044877
2021-140782,2021-01-29,2.0,13204,0.0,33.0,3.0,145000.0,43.309068,5.403656,2,4393.939393939394,2021,1,2721.7173060895752,12027.867705044877
2021-140791,2021-02-18,2.0,13204,0.0,40.0,2.0,94000.0,43.301379,5.397822,1,2350.0,2021,2,2721.7173060895752,12027.867705044877
2021-140803,2021-02-04,2.0,13204,0.0,78.0,4.0,207665.0,43.302014,5.398583,1,2662.371794871795,2021,2,2721.7173060895752,12027.867705044877
2021-140806,2021-02-11,2.0,13204,0.0,23.0,1.0,49000.0,43.309632,5.399051,1,2130.4347826086955,2021,2,2721.7173060895752,12027.867705044877
2021-140816,2021-02-15,2.0,13204,0.0,44.0,2.0,99300.0,43.308658,5.407849,2,2256.818181818182,2021,2,2721.7173060895752,12027.867705044877
2021-140818,2021-02-16,2.0,13204,0.0,75.0,3.0,144900.0,43.301716,5.399211,1,1932.0,2021,2,2721.7173060895752,12027.867705044877
2021-140821,2021-02-05,2.0,13204,0.0,50.0,3.0,80000.0,43.310464,5.397075,1,1600.0,2021,2,2721.7173060895752,12027.867705044877
2021-140822,2021-02-17,2.0,13204,0.0,54.0,3.0,110000.0,43.298249,5.406714,1,2037.037037037037,2021,2,2721.7173060895752,12027.867705044877
2021-140824,2021-02-19,2.0,13204,0.0,60.0,3.0,200000.0,43.302117,5.402836,1,3333.3333333333335,2021,2,2721.7173060895752,12027.867705044877
2021-140831,2021-01-26,2.0,13204,0.0,60.0,3.0,167400.0,43.308111,5.400539,1,2790.0,2021,1,2721.7173060895752,12027.867705044877
2021-140832,2021-02-18,2.0,13204,0.0,55.0,2.0,127000.0,43.309428,5.400272,1,2309.090909090909,2021,2,2721.7173060895752,12027.867705044877
2021-140833,2021-02-18,2.0,13204,0.0,106.0,5.0,249651.0,43.311538,5.403286,2,2355.198113207547,2021,2,2721.7173060895752,12027.867705044877
2021-140837,2021-02-18,2.0,13204,0.0,46.0,2.0,132000.0,43.299602,5.399992,2,2869.5652173913045,2021,2,2721.7173060895752,12027.867705044877
2021-140840,2021-01-26,2.0,13204,0.0,77.0,3.0,115000.0,43.301589,5.399282,1,1493.5064935064936,2021,1,2721.7173060895752,12027.867705044877
2021-140857,2021-02-26,2.0,13204,0.0,44.0,2.0,128000.0,43.300749,5.399924,2,2909.090909090909,2021,2,2721.7173060895752,12027.867705044877
2021-140866,2021-02-25,2.0,13204,0.0,53.0,3.0,150000.0,43.298249,5.406714,1,2830.188679245283,2021,2,2721.7173060895752,12027.867705044877
2021-140879,2021-02-24,2.0,13204,0.0,70.0,3.0,187700.0,43.304294,5.399505,1,2681.4285714285716,2021,2,2721.7173060895752,12027.867705044877
2021-140883,2021-03-03,2.0,13204,0.0,57.0,3.0,115000.0,43.313164,5.396221,2,2017.5438596491229,2021,3,2721.7173060895752,12027.867705044877
2021-140893,2021-02-22,2.0,13204,0.0,40.0,2.0,85000.0,43.310427,5.401142,1,2125.0,2021,2,2721.7173060895752,12027.867705044877
2021-140902,2021-02-10,2.0,13204,0.0,72.0,3.0,172000.0,43.310229,5.397688,2,2388.8888888888887,2021,2,2721.7173060895752,12027.867705044877
2021-140904,2021-02-26,2.0,13204,0.0,41.0,2.0,88000.0,43.299383,5.404193,1,2146.3414634146343,2021,2,2721.7173060895752,12027.867705044877
2021-140925,2021-02-16,2.0,13204,0.0,75.0,3.0,246990.0,43.309241,5.402092,1,3293.2,2021,2,2721.7173060895752,12027.867705044877
2021-140930,2021-02-19,2.0,13204,77.0,77.0,6.0,236240.0,43.310608,5.406528,0,3068.051948051948,2021,2,2721.7173060895752,12027.867705044877
2021-140937,2021-02-18,2.0,13204,0.0,64.0,4.0,118000.0,43.298249,5.406714,1,1843.75,2021,2,2721.7173060895752,12027.867705044877
2021-140938,2021-03-02,2.0,13204,0.0,38.0,2.0,134000.0,43.311593,5.396407,2,3526.315789473684,2021,3,2721.7173060895752,12027.867705044877
2021-140947,2021-02-18,2.0,13204,0.0,75.0,2.0,160000.0,43.301431,5.398912,3,2133.3333333333335,2021,2,2721.7173060895752,12027.867705044877
2021-140948,2021-02-18,2.0,13204,0.0,69.0,3.0,180000.0,43.307428,5.393038,1,2608.695652173913,2021,2,2721.7173060895752,12027.867705044877
2021-140952,2021-02-16,2.0,13204,0.0,38.0,1.0,124400.0,43.306117,5.404001,1,3273.684210526316,2021,2,2721.7173060895752,12027.867705044877
2021-140960,2021-02-26,2.0,13204,0.0,80.0,4.0,180000.0,43.308997,5.401856,2,2250.0,2021,2,2721.7173060895752,12027.867705044877
2021-140965,2021-03-01,2.0,13204,0.0,50.0,3.0,119000.0,43.298249,5.406714,1,2380.0,2021,3,2721.7173060895752,12027.867705044877
